customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,tech_support,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00039,Male,0,No,Yes,60,No,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Mailed check,65.96,4718.38,No
C00040,Male,0,Yes,No,10,Yes,No,DSL,No,No,Month-to-month,Yes,Credit card (automatic),117.97,3847.5,No
C00041,Male,0,No,Yes,67,Yes,Yes,DSL,No,No,Two year,Yes,Credit card (automatic),104.93,2066.77,No
C00042,Female,1,Yes,Yes,7,Yes,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),111.31,4813.32,No
C00043,Female,0,No,No,48,Yes,No,No,No internet service,No,One year,No,Bank transfer (automatic),80.35,789.98,No
C00044,Female,0,Yes,No,23,Yes,No phone service,DSL,No internet service,No,Month-to-month,Yes,Credit card (automatic),103.91,3299.91,No
C00045,Female,0,No,No,32,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,49.97,1920.11,No
C00046,Female,0,No,Yes,18,Yes,No phone service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),20.74,1071.28,No
C00047,Male,0,No,Yes,1,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,109.83,7867.95,No
C00048,Female,0,No,No,54,Yes,Yes,DSL,No,No,One year,Yes,Electronic check,39.84,5954.92,No
C00049,Female,0,Yes,No,10,No,No,Fiber optic,No,No,One year,Yes,Electronic check,90.85,1450.01,No
C00050,Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,Two year,No,Bank transfer (automatic),83.9,8070.78,No
C00051,Female,0,No,No,41,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),33.82,1850.05,No
C00052,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,One year,No,Credit card (automatic),37.58,2016.47,No
C00053,Female,1,No,No,2,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),50.91,1148.4,No
C00054,Male,0,No,No,34,Yes,No phone service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),93.69,6191.65,No
C00055,Female,1,Yes,No,65,Yes,No,No,No,No,Two year,No,Credit card (automatic),21.92,4860.17,No
C00056,Female,0,Yes,No,0,No,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,58.71,512.09,Yes
C00057,Male,0,No,No,6,Yes,No phone service,DSL,Yes,Yes,One year,No,Credit card (automatic),84.51,232.59,No
C00058,Male,0,Yes,No,19,Yes,No,DSL,No internet service,Yes,Two year,No,Electronic check,35.15,4536.02,No
C00059,Male,0,No,No,42,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.94,5544.29,No
C00060,Male,0,Yes,Yes,5,No,No phone service,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),57.02,6997.61,Yes
C00061,Male,0,Yes,Yes,54,Yes,No phone service,No,No,Yes,Month-to-month,Yes,Electronic check,46.66,4074.71,Yes
C00062,Male,0,Yes,No,20,Yes,No phone service,Fiber optic,No internet service,No,One year,No,Mailed check,82.91,5756.33,No
C00063,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No internet service,No internet service,One year,Yes,Mailed check,114.96,6240.87,No
C00064,Male,0,Yes,Yes,45,Yes,No,DSL,Yes,No,Month-to-month,Yes,Mailed check,18.45,5217.91,Yes
C00065,Female,0,No,No,34,Yes,No,Fiber optic,No,No,One year,No,Electronic check,108.24,3005.5,Yes
C00066,Female,0,Yes,No,7,Yes,No phone service,Fiber optic,Yes,No internet service,Two year,Yes,Credit card (automatic),61.32,1136.74,No
C00067,Male,0,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,84.4,5510.42,No
C00068,Female,0,No,No,15,Yes,No phone service,DSL,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),103.1,6538.08,Yes
C00069,Female,1,No,No,66,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.35,1628.11,Yes
C00070,Female,0,No,No,70,Yes,No,DSL,No,No,Two year,No,Bank transfer (automatic),27.73,4215.46,No
C00071,Female,1,Yes,No,63,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,32.06,3387.44,Yes
C00072,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No,One year,No,Mailed check,96.93,1762.77,No
C00073,Female,0,No,No,0,Yes,No,DSL,No internet service,Yes,One year,No,Credit card (automatic),40.91,2098.75,No
C00074,Male,0,No,No,57,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,74.9,2033.95,No
C00075,Female,0,No,Yes,0,No,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),60.81,3571.37,No
C00076,Female,1,No,Yes,6,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),48.36,3329.9,No
C00077,Female,0,Yes,No,68,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,No,Electronic check,96.7,4718.54,Yes
C00078,Male,0,Yes,Yes,17,Yes,No,No,No internet service,Yes,Month-to-month,No,Mailed check,91.12,808.61,No
C00079,Female,0,Yes,No,31,Yes,Yes,Fiber optic,No internet service,No,Two year,Yes,Electronic check,82.61,4948.17,No
C00080,Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,Month-to-month,No,Bank transfer (automatic),55.27,203.3,No
C00081,Female,1,Yes,No,32,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,40.65,2201.06,No
C00082,Male,0,No,No,48,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,69.59,4277.13,Yes
C00083,Female,0,Yes,No,32,Yes,No phone service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,99.71,5844.59,No
C00084,Male,0,No,Yes,70,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Mailed check,75.57,6559.88,Yes
C00085,Male,0,No,No,67,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Credit card (automatic),115.01,319.63,No
C00086,Female,0,No,No,27,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,19.54,4576.96,No
C00087,Male,0,Yes,No,52,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,117.83,3024.33,Yes
C00088,Female,0,No,No,43,Yes,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),87.14,5912.22,No
C00089,Female,0,Yes,Yes,54,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),101.27,2425.02,No
C00090,Female,0,No,Yes,9,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,51.5,6326.26,Yes
C00091,Female,0,Yes,Yes,13,Yes,No phone service,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),68.83,5126.17,No
C00092,Female,0,No,No,35,Yes,No phone service,DSL,Yes,No,Two year,Yes,Credit card (automatic),97.7,6716.0,No
C00093,Female,0,Yes,No,33,Yes,No phone service,DSL,No,No,One year,Yes,Credit card (automatic),94.06,8367.63,No
C00094,Female,0,No,No,17,Yes,No,DSL,No internet service,No,Month-to-month,Yes,Electronic check,51.4,7724.63,No
C00095,Female,0,No,No,15,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card (automatic),50.44,5050.29,Yes
C00096,Female,0,No,No,36,Yes,No,Fiber optic,Yes,No,One year,No,Credit card (automatic),84.28,7598.89,No
C00097,Female,0,No,No,40,Yes,No,No,No,No internet service,Month-to-month,No,Mailed check,111.37,1316.51,No
C00098,Female,0,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,61.88,383.02,Yes
C00099,Male,0,Yes,Yes,7,Yes,No,DSL,Yes,No internet service,Month-to-month,No,Credit card (automatic),53.29,4540.04,No
C00100,Male,0,Yes,No,17,Yes,No phone service,No,No internet service,No,Two year,No,Electronic check,107.47,8282.6,No
C00101,Female,0,No,No,67,Yes,No phone service,DSL,Yes,Yes,One year,No,Credit card (automatic),86.31,6037.98,No
C00102,Female,0,No,No,47,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),56.83,2606.22,Yes
C00103,Female,0,No,No,69,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,23.73,5690.52,No
C00104,Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),90.15,356.5,No
C00105,Female,0,No,Yes,17,Yes,Yes,DSL,No,Yes,Month-to-month,No,Electronic check,53.29,4009.8,No
C00106,Female,0,No,Yes,17,Yes,No phone service,Fiber optic,No internet service,No,Two year,No,Bank transfer (automatic),25.06,2030.4,Yes
C00107,Female,0,Yes,No,55,Yes,No,DSL,No,Yes,Month-to-month,No,Mailed check,79.23,435.3,No
C00108,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No internet service,Two year,No,Bank transfer (automatic),50.3,2137.74,Yes
C00109,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),51.85,6145.91,No
C00110,Female,0,Yes,Yes,5,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,65.92,4693.18,No
C00111,Male,0,Yes,Yes,25,Yes,No phone service,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.75,216.77,No
C00112,Female,0,Yes,No,60,Yes,No phone service,Fiber optic,No,No internet service,One year,Yes,Mailed check,45.63,3493.4,No
C00113,Female,0,Yes,No,14,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,No,Mailed check,26.09,6397.92,Yes
C00114,Male,0,Yes,Yes,31,No,Yes,DSL,No internet service,No internet service,One year,No,Credit card (automatic),60.44,8114.96,No
C00115,Female,0,No,Yes,11,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.49,7434.3,No
C00116,Male,0,No,Yes,4,Yes,No,DSL,Yes,No,Month-to-month,Yes,Mailed check,87.73,30.89,No
C00117,Female,0,No,No,63,Yes,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),113.92,1873.03,No
C00118,Female,1,No,Yes,70,Yes,No phone service,No,Yes,No,Month-to-month,No,Electronic check,83.88,1780.02,No
C00119,Male,0,No,No,26,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,45.54,3521.87,No
C00120,Female,0,No,Yes,44,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,36.17,5495.29,No
C00121,Male,1,No,Yes,34,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,41.28,1316.33,Yes
C00122,Female,0,Yes,No,25,Yes,Yes,No,Yes,No,Two year,No,Mailed check,40.16,7784.79,No
C00123,Male,1,Yes,No,22,Yes,No phone service,DSL,No,Yes,Month-to-month,No,Credit card (automatic),49.38,6609.51,No
C00124,Male,0,No,Yes,12,Yes,No,Fiber optic,Yes,No internet service,Two year,No,Credit card (automatic),27.73,3574.77,No
C00125,Female,1,Yes,No,2,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.57,4971.43,No
C00126,Female,0,Yes,No,28,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,106.51,4613.56,Yes
C00127,Male,0,Yes,No,65,Yes,No phone service,DSL,No,Yes,Month-to-month,No,Mailed check,79.52,4956.48,Yes
C00128,Female,0,Yes,No,63,Yes,No phone service,DSL,No,No,One year,No,Mailed check,24.19,7313.5,No
C00129,Female,0,Yes,No,27,Yes,No phone service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),98.4,1715.41,No
C00130,Female,0,No,No,35,Yes,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),24.18,5817.26,No
C00131,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,Two year,No,Bank transfer (automatic),28.64,925.85,No
C00132,Male,0,No,No,10,Yes,No,DSL,No internet service,Yes,Two year,No,Electronic check,50.53,3912.63,No
C00133,Male,0,No,No,37,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,No,Mailed check,61.15,5411.19,No
C00134,Male,0,No,Yes,33,Yes,No,Fiber optic,No internet service,No internet service,Two year,Yes,Credit card (automatic),53.39,124.04,No
C00135,Male,0,Yes,Yes,66,Yes,No phone service,No,No,Yes,Month-to-month,No,Electronic check,34.52,934.62,No
C00136,Male,1,No,Yes,45,Yes,No phone service,No,Yes,No internet service,One year,No,Bank transfer (automatic),29.21,792.12,No
C00137,Male,0,No,No,28,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,103.94,3196.14,No
C00138,Male,1,No,No,59,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,54.32,5293.88,No
C00139,Male,0,No,No,53,Yes,No phone service,No,No internet service,Yes,One year,No,Credit card (automatic),39.86,8465.78,No
C00140,Female,0,Yes,Yes,68,Yes,No,No,No internet service,No,Month-to-month,No,Mailed check,66.7,2173.1,No
C00141,Male,0,No,No,8,Yes,No phone service,Fiber optic,Yes,No,One year,Yes,Electronic check,21.68,1171.21,No
C00142,Female,0,No,No,9,Yes,Yes,Fiber optic,No internet service,No,Two year,No,Credit card (automatic),78.03,3536.02,Yes
C00143,Female,0,No,No,67,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),42.85,1256.16,No
C00144,Female,0,No,No,57,Yes,Yes,DSL,No,No internet service,Month-to-month,No,Bank transfer (automatic),77.82,226.19,Yes
C00145,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,One year,No,Credit card (automatic),79.41,4801.5,No
C00146,Male,1,No,No,33,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),98.92,7478.53,No
C00147,Male,0,No,No,34,Yes,No,Fiber optic,Yes,No internet service,Two year,No,Bank transfer (automatic),40.99,7319.73,No
C00148,Male,0,No,No,32,Yes,No phone service,DSL,No,No,Month-to-month,No,Credit card (automatic),64.35,872.89,No
C00149,Female,0,No,No,71,Yes,No,No,Yes,Yes,One year,No,Mailed check,114.19,1268.9,No
C00150,Male,0,No,No,31,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,90.71,4183.69,Yes
C00151,Male,0,No,Yes,54,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Mailed check,115.53,3136.97,Yes
C00152,Male,0,Yes,Yes,7,Yes,No phone service,No,Yes,No,Month-to-month,No,Electronic check,110.74,5981.48,Yes
C00153,Male,0,No,Yes,45,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,79.07,4216.09,No
C00154,Male,0,Yes,No,13,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),44.39,188.64,No
C00155,Female,0,Yes,No,7,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),93.69,2431.67,No
C00156,Male,0,No,Yes,70,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),87.81,7664.45,Yes
C00157,Female,1,Yes,Yes,53,Yes,No phone service,No,No internet service,No,Month-to-month,Yes,Electronic check,76.89,4356.62,No
C00158,Male,0,No,No,20,No,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,87.78,6786.2,Yes
C00159,Female,0,Yes,No,13,Yes,No phone service,Fiber optic,No internet service,No internet service,Two year,Yes,Credit card (automatic),79.36,3430.28,Yes
C00160,Male,0,No,No,1,Yes,No phone service,No,No internet service,No internet service,One year,No,Electronic check,69.94,5760.01,No
C00161,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,59.6,1451.49,No
C00162,Female,0,Yes,No,16,Yes,No phone service,Fiber optic,No,No,Two year,Yes,Electronic check,22.47,6265.28,No
C00163,Female,0,No,No,47,No,Yes,No,No internet service,No,Two year,No,Mailed check,104.57,6689.78,No
C00164,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),104.55,782.57,No
C00165,Male,0,Yes,Yes,55,Yes,No,Fiber optic,Yes,No internet service,One year,No,Electronic check,77.4,1572.84,No
C00166,Female,0,Yes,No,16,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),44.79,3944.23,No
C00167,Male,0,Yes,No,68,Yes,No phone service,DSL,Yes,No internet service,Two year,Yes,Credit card (automatic),20.81,5424.74,No
C00168,Male,0,Yes,No,11,Yes,No,DSL,No internet service,No internet service,Month-to-month,No,Electronic check,18.14,5425.2,Yes
C00169,Female,0,No,No,37,No,No,DSL,Yes,No,Two year,Yes,Electronic check,25.29,5685.7,No
C00170,Female,0,Yes,No,17,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Mailed check,53.99,6077.67,No
C00171,Male,0,Yes,Yes,25,Yes,No phone service,DSL,Yes,No internet service,Month-to-month,No,Electronic check,36.84,4307.91,No
C00172,Male,0,No,No,36,Yes,No phone service,DSL,No internet service,Yes,One year,No,Mailed check,44.51,4893.92,No
C00173,Female,0,No,Yes,69,No,No,No,Yes,No,One year,No,Mailed check,87.97,89.3,No
C00174,Female,1,No,Yes,40,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),113.91,1431.11,No
C00175,Female,0,Yes,Yes,41,Yes,No phone service,No,No,No,Two year,No,Bank transfer (automatic),38.68,4246.82,No
C00176,Male,0,Yes,No,40,Yes,No phone service,Fiber optic,Yes,No,One year,No,Bank transfer (automatic),64.56,6342.12,No
C00177,Male,0,Yes,No,46,Yes,Yes,DSL,Yes,No internet service,One year,No,Credit card (automatic),117.15,6879.3,No
C00178,Male,0,Yes,No,13,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),111.17,6200.9,No
C00179,Male,0,No,No,0,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,53.23,4143.67,No
C00180,Male,0,No,No,16,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,49.97,2403.8,Yes
C00181,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,No internet service,One year,No,Mailed check,42.22,3790.08,No
C00182,Female,0,Yes,No,52,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),33.54,96.84,No
C00183,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,No internet service,Month-to-month,No,Electronic check,64.01,5089.89,Yes
C00184,Male,0,Yes,No,61,No,No phone service,Fiber optic,Yes,No,Month-to-month,No,Mailed check,52.11,650.48,Yes
C00185,Male,0,No,No,7,Yes,No phone service,DSL,No,No internet service,Two year,Yes,Electronic check,92.48,1251.2,No
C00186,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,41.69,5327.53,No
C00187,Male,0,Yes,No,65,Yes,No phone service,DSL,Yes,No,Month-to-month,Yes,Electronic check,91.63,131.22,No
C00188,Male,0,No,Yes,44,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,46.81,4882.9,No
C00189,Female,0,Yes,Yes,17,Yes,No,DSL,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),77.27,5432.74,No
C00190,Male,0,Yes,No,44,Yes,No,DSL,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),81.84,6704.15,No
C00191,Male,0,No,No,18,Yes,No phone service,DSL,No internet service,No,Month-to-month,No,Bank transfer (automatic),85.18,595.03,Yes
C00192,Male,0,Yes,Yes,67,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,35.53,42.87,No
C00193,Male,0,No,No,49,Yes,No,DSL,No,No,Two year,Yes,Electronic check,46.27,6522.49,No
C00194,Male,1,Yes,Yes,24,No,Yes,DSL,No,Yes,One year,No,Bank transfer (automatic),42.61,2478.24,Yes
C00195,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,75.62,7543.27,Yes
C00196,Female,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,No internet service,One year,No,Electronic check,25.57,1586.9,No
C00197,Female,0,No,No,67,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,69.83,4984.26,No
C00198,Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,No internet service,No internet service,One year,Yes,Bank transfer (automatic),26.75,946.01,No
C00199,Male,0,Yes,Yes,38,Yes,No,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),51.71,3433.62,No
C00200,Male,0,No,No,62,Yes,No phone service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),86.67,7499.67,No
C00201,Female,1,Yes,Yes,6,Yes,Yes,No,Yes,No,One year,No,Electronic check,59.26,5178.0,No
C00202,Male,0,No,No,57,No,No phone service,No,Yes,No internet service,Month-to-month,No,Mailed check,46.03,5867.33,Yes
C00203,Male,0,No,No,58,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),79.59,1934.68,No
C00204,Female,0,Yes,Yes,47,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Electronic check,92.03,7844.77,No
C00205,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No internet service,Yes,One year,No,Credit card (automatic),43.46,5306.38,Yes
C00206,Female,0,Yes,No,35,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),47.94,916.12,Yes
C00207,Female,0,Yes,Yes,24,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,82.03,149.91,No
C00208,Female,0,No,Yes,44,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,114.52,153.05,No
C00209,Male,0,Yes,No,18,No,No,DSL,Yes,Yes,Two year,Yes,Mailed check,39.39,452.38,No
C00210,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,83.42,7750.33,Yes
C00211,Male,0,Yes,No,57,Yes,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,108.66,3057.77,No
C00212,Male,0,No,Yes,65,Yes,No phone service,No,No,No,One year,Yes,Bank transfer (automatic),64.2,2547.61,No
C00213,Male,0,Yes,No,38,Yes,No,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),49.68,3551.14,No
C00214,Male,0,No,No,17,Yes,No,DSL,Yes,No,One year,Yes,Electronic check,84.69,3491.99,No
C00215,Male,0,Yes,No,0,Yes,No phone service,No,Yes,No,One year,Yes,Credit card (automatic),21.14,2040.9,No
C00216,Female,0,No,No,62,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.02,796.89,No
C00217,Male,1,Yes,No,2,Yes,No phone service,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),43.8,939.37,No
